iter	Passed	Remaining
349	4995	9277
350	5008	9261
351	5021	9243
352	5033	9226
353	5047	9210
354	5059	9192
355	5074	9178
356	5088	9164
357	5102	9150
358	5116	9136
359	5132	9124
360	5148	9113
361	5165	9103
362	5180	9091
363	5200	9085
364	5212	9067
365	5224	9050
366	5237	9033
367	5249	9015
368	5260	8995
369	5271	8975
370	5283	8957
371	5296	8940
372	5309	8925
373	5321	8907
374	5333	8888
375	5347	8874
376	5361	8860
377	5376	8847
378	5388	8829
379	5403	8816
380	5418	8802
381	5431	8787
382	5445	8771
383	5459	8757
384	5474	8745
385	5491	8735
386	5505	8720
387	5520	8708
388	5533	8691
389	5546	8675
390	5559	8659
391	5571	8641
392	5582	8622
393	5599	8612
394	5613	8598
395	5626	8582
396	5637	8562
397	5650	8546
398	5662	8528
399	5674	8511
400	5686	8493
401	5699	8478
402	5711	8460
403	5724	8444
404	5736	8427
405	5747	8409
406	5759	8391
407	5771	8374
408	5783	8357
409	5795	8339
410	5807	8323
411	5820	8307
412	5833	8290
413	5844	8273
414	5856	8256
415	5869	8239
416	5880	8221
417	5892	8204
418	5905	8188
419	5917	8171
420	5930	8155
421	5945	8143
422	5957	8126
423	5969	8109
424	5982	8093
425	5996	8079
426	6008	8062
427	6022	8048
428	6035	8032
429	6049	8018
430	6064	8006
431	6077	7990
432	6094	7980
433	6110	7968
434	6123	7954
435	6140	7943
436	6156	7931
437	6170	7917
438	6183	7902
439	6197	7887
440	6209	7871
441	6220	7853
442	6233	7837
443	6244	7819
444	6256	7802
445	6268	7786
446	6279	7768
447	6290	7751
448	6303	7735
449	6315	7718
450	6328	7703
451	6340	7687
452	6353	7672
453	6366	7656
454	6377	7638
455	6387	7620
456	6400	7604
457	6412	7588
458	6422	7570
459	6434	7553
460	6448	7539
461	6460	7523
462	6471	7506
463	6483	7489
464	6497	7475
465	6509	7459
466	6524	7446
467	6539	7433
468	6551	7417
469	6564	7402
470	6576	7386
471	6589	7371
472	6603	7357
473	6616	7342
474	6629	7327
475	6641	7311
476	6655	7297
477	6668	7282
478	6682	7268
479	6697	7255
480	6714	7245
481	6730	7233
482	6745	7220
483	6761	7208
484	6776	7195
485	6793	7184
486	6809	7172
487	6825	7161
488	6839	7147
489	6856	7135
490	6870	7122
491	6883	7107
492	6898	7094
493	6911	7079
494	6925	7065
495	6938	7050
496	6951	7035
497	6964	7020
498	6977	7004
499	6988	6988
500	7003	6975
501	7016	6960
502	7031	6947
503	7044	6932
504	7057	6918
505	7072	6904
506	7084	6888
507	7096	6873
508	7108	6857
509	7121	6841
510	7131	6824
511	7143	6808
512	7155	6792
513	7167	6776
514	7179	6761
515	7191	6745
516	7204	6730
517	7216	6714
518	7228	6699
519	7240	6683
520	7252	6667
521	7265	6653
522	7278	6637
523	7293	6625
524	7306	6611
525	7320	6596
526	7335	6584
527	7352	6572
528	7370	6562
529	7390	6553
530	7427	6560
531	7451	6555
532	7470	6545
533	7487	6533
534	7506	6524
535	7526	6515
536	7543	6504
537	7555	6488
538	7568	6473
539	7580	6457
540	7593	6442
541	7604	6426
542	7615	6409
543	7627	6393
544	7639	6378
545	7651	6361
546	7663	6346
547	7674	6330
548	7686	6314
549	7701	6301
550	7714	6286
551	7727	6271
552	7739	6256
553	7751	6240
554	7769	6229
555	7786	6218
556	7805	6208
557	7825	6198
558	7845	6189
559	7866	6180
560	7883	6169
561	7902	6158
562	7920	6147
563	7938	6136
564	7963	6130
565	7982	6121
566	8003	6111
567	8049	6121
568	8074	6116
569	8092	6105
570	8113	6095
571	8130	6083
572	8146	6070
573	8162	6058
574	8197	6058
575	8225	6054
576	8249	6047
577	8278	6043
578	8305	6039
579	8361	6055
580	8406	6062
581	8427	6052
582	8457	6049
583	8478	6039
584	8499	6029
585	8515	6015
586	8530	6001
587	8545	5987
588	8559	5972
589	8574	5958
590	8587	5943
591	8600	5927
592	8612	5910
593	8627	5896
594	8642	5882
595	8656	5867
596	8669	5852
597	8681	5836
598	8693	5820
599	8706	5804
600	8721	5790
601	8735	5775
602	8749	5760
603	8761	5744
604	8777	5730
605	8791	5716
606	8808	5703
607	8827	5691
608	8846	5679
609	8864	5667
610	8877	5652
611	8899	5642
612	8912	5626
613	8924	5610
614	8937	5594
615	8950	5579
616	8961	5562
617	8975	5547
618	8988	5532
619	9000	5516
620	9012	5500
621	9024	5484
622	9036	5468
623	9048	5452
624	9059	5435
625	9071	5419
626	9083	5403
627	9097	5388
628	9109	5373
629	9124	5358
630	9139	5344
631	9155	5330
632	9283	5382
633	9338	5391
634	9406	5406
635	9438	5402
636	9459	5390
637	9482	5380
638	9503	5368
639	9535	5363
640	9576	5363
641	9603	5355
642	9620	5341
643	9637	5327
644	9655	5314
645	9670	5299
646	9682	5282
647	9694	5266
648	9709	5251
649	9723	5235
650	9738	5220
651	9751	5205
652	9764	5188
653	9776	5172
654	9791	5157
655	9806	5142
656	9820	5127
657	9833	5110
658	9849	5096
659	9864	5081
660	9876	5065
661	9890	5049
662	9903	5033
663	9916	5018
664	9929	5001
665	9943	4986
666	9959	4972
667	9973	4956
668	9988	4941
669	10006	4928
670	10020	4913
671	10033	4897
672	10049	4882
673	10065	4868
674	10078	4852
675	10092	4837
676	10110	4823
677	10124	4808
678	10138	4793
679	10154	4778
680	10171	4764
681	10188	4750
682	10205	4736
683	10223	4723
684	10242	4710
685	10260	4696
686	10272	4680
687	10289	4666
688	10305	4651
689	10318	4635
690	10333	4620
691	10347	4605
692	10362	4590
693	10379	4576
694	10399	4563
695	10411	4547
696	10425	4532
697	10439	4516
698	10449	4499
699	10463	4484
700	10477	4468
701	10489	4452
702	10504	4437
703	10519	4422
704	10531	4406
705	10547	4392
706	10558	4375
707	10572	4360
708	10586	4345
709	10600	4329
710	10614	4314
711	10628	4299
712	10642	4283
713	10655	4268
714	10667	4252
715	10679	4235
716	10692	4220
717	10704	4204
718	10715	4187
719	10726	4171
720	10736	4154
721	10748	4138
722	10761	4123
723	10775	4107
724	10787	4091
725	10799	4075
726	10812	4060
727	10824	4044
728	10835	4028
729	10846	4011
730	10859	3996
731	10870	3980
732	10882	3964
733	10895	3948
734	10907	3932
735	10918	3916
736	10929	3900
737	10942	3884
738	10955	3869
739	10968	3853
740	10981	3838
741	10993	3822
742	11006	3807
743	11019	3791
744	11030	3775
745	11043	3760
746	11055	3744
747	11066	3728
748	11077	3712
749	11090	3696
750	11101	3680
751	11113	3664
752	11124	3648
753	11134	3632
754	11145	3616
755	11157	3600
756	11168	3585
757	11180	3569
758	11191	3553
759	11202	3537
760	11215	3522
761	11226	3506
762	11238	3490
763	11250	3475
764	11263	3460
765	11274	3444
766	11287	3428
767	11302	3414
768	11315	3399
769	11331	3384
770	11345	3369
771	11361	3355
772	11378	3341
773	11405	3330
774	11420	3315
775	11434	3300
776	11450	3286
777	11464	3271
778	11478	3256
779	11489	3240
780	11501	3225
781	11514	3209
782	11527	3194
783	11538	3179
784	11551	3163
785	11562	3147
786	11573	3132
787	11585	3116
788	11596	3101
789	11608	3085
790	11619	3070
791	11630	3054
792	11641	3038
793	11655	3024
794	11669	3009
795	11684	2994
796	11701	2980
797	11716	2965
798	11733	2951
799	11748	2937
800	11760	2921
801	11773	2906
802	11784	2891
803	11796	2875
804	11808	2860
805	11821	2845
806	11833	2830
807	11844	2814
808	11856	2799
809	11868	2783
810	11880	2768
811	11893	2753
812	11905	2738
813	11917	2723
814	11930	2708
815	11942	2692
816	11953	2677
817	11967	2662
818	11978	2647
819	11990	2631
820	12000	2616
821	12012	2601
822	12024	2586
823	12035	2570
824	12050	2556
825	12061	2540
826	12074	2525
827	12085	2510
828	12098	2495
829	12109	2480
830	12119	2464
831	12130	2449
832	12142	2434
833	12153	2419
834	12167	2404
835	12178	2389
836	12190	2373
837	12201	2358
838	12213	2343
839	12224	2328
840	12236	2313
841	12248	2298
842	12259	2283
843	12271	2268
844	12282	2252
845	12293	2237
846	12304	2222
847	12317	2207
848	12329	2192
849	12340	2177
850	12351	2162
851	12361	2147
852	12374	2132
853	12388	2117
854	12400	2103
855	12412	2088
856	12425	2073
857	12435	2058
858	12446	2043
859	12458	2028
860	12471	2013
861	12484	1998
862	12496	1983
863	12509	1969
864	12521	1954
865	12533	1939
866	12547	1924
867	12562	1910
868	12580	1896
869	12598	1882
870	12623	1869
871	12647	1856
872	12663	1842
873	12679	1827
874	12693	1813
875	12710	1799
876	12724	1784
877	12741	1770
878	12755	1755
879	12769	1741
880	12781	1726
881	12795	1711
882	12809	1697
883	12825	1682
884	12843	1668
885	12859	1654
886	12874	1640
887	12888	1625
888	12905	1611
889	12918	1596
890	12931	1581
891	12945	1567
892	12957	1552
893	12969	1537
894	12980	1522
895	12991	1507
896	13003	1493
897	13015	1478
898	13029	1463
899	13041	1449
900	13051	1434
901	13062	1419
902	13074	1404
903	13086	1389
904	13098	1374
905	13111	1360
906	13124	1345
907	13137	1331
908	13150	1316
909	13162	1301
910	13176	1287
911	13189	1272
912	13203	1258
913	13215	1243
914	13226	1228
915	13239	1214
916	13251	1199
917	13262	1184
918	13272	1169
919	13285	1155
920	13298	1140
921	13309	1125
922	13320	1111
923	13332	1096
924	13344	1081
925	13355	1067
926	13371	1052
927	13384	1038
928	13398	1023
929	13412	1009
930	13427	995
931	13444	980
932	13458	966
933	13473	952
934	13489	937
935	13507	923
936	13523	909
937	13542	895
938	13558	880
939	13570	866
940	13588	851
941	13605	837
942	13622	823
943	13636	808
944	13652	794
945	13669	780
946	13688	766
947	13706	751
948	13719	737
949	13737	723
950	13754	708
951	13767	694
952	13783	679
953	13799	665
954	13811	650
955	13826	636
956	13840	621
957	13854	607
958	13867	592
959	13880	578
960	13893	563
961	13907	549
962	13919	534
963	13929	520
964	13941	505
965	13954	491
966	13965	476
967	13978	462
968	13990	447
969	14003	433
970	14017	418
971	14031	404
972	14046	389
973	14059	375
974	14072	360
975	14082	346
976	14095	331
977	14107	317
978	14122	302
979	14134	288
980	14145	273
981	14157	259
982	14170	245
983	14182	230
984	14193	216
985	14204	201
986	14216	187
987	14227	172
988	14239	158
989	14252	143
990	14265	129
991	14278	115
992	14290	100
993	14302	86
994	14315	71
995	14326	57
996	14338	43
997	14351	28
998	14364	14
999	14378	0
