iter	MultiClass
0	1.117095349
1	0.9315185709
2	0.7925383997
3	0.6836815521
4	0.5951983
5	0.5216304876
6	0.4600213123
7	0.4072029272
8	0.3619319879
9	0.3224724834
10	0.288040041
11	0.257873563
12	0.2313041197
13	0.2077880251
14	0.1868936541
15	0.1683893448
16	0.151962695
17	0.1371640002
18	0.1239915018
19	0.1120558366
20	0.1013364851
21	0.09183468534
22	0.08318939682
23	0.07535251389
24	0.06830679965
25	0.06192396452
26	0.05620118278
27	0.05098525726
28	0.04626778526
29	0.04199889924
30	0.03815392593
31	0.03467311471
32	0.03158985132
33	0.02871286708
34	0.02609477993
35	0.0237203992
36	0.02156647994
37	0.01961209081
38	0.01786000706
39	0.01627234416
40	0.01483980882
41	0.01350950477
42	0.01229756131
43	0.01121529742
44	0.01026284932
45	0.009397577806
46	0.008593113161
47	0.007831056946
48	0.00714408073
49	0.006530163684
50	0.00596798617
51	0.005459027874
52	0.004990108669
53	0.004561104594
54	0.004165846907
55	0.003825601282
56	0.003511022597
57	0.00322351017
58	0.002963358304
59	0.002716563453
60	0.002492498356
61	0.00228425243
62	0.002123314625
63	0.001957798157
64	0.001818362315
65	0.001674013515
66	0.001540264508
67	0.001418683525
68	0.001313647092
69	0.001222206903
70	0.00114599696
71	0.001066876761
72	0.0009896529474
73	0.0009188638557
74	0.0008533408923
75	0.000808363683
76	0.0007580330794
77	0.0007132481621
78	0.0006683464487
79	0.0006248557685
80	0.0005869378595
81	0.0005550225947
82	0.0005242442092
83	0.0004971916152
84	0.0004714336409
85	0.000444451478
86	0.0004224841391
87	0.0004030257876
88	0.0003830031316
89	0.0003673968008
90	0.000350745236
91	0.0003369261797
92	0.0003227360572
93	0.0003107292467
94	0.0002987617992
95	0.0002873475453
96	0.000276202152
97	0.0002665185267
98	0.0002571511825
99	0.0002485445792
100	0.0002412974255
101	0.0002337783555
102	0.0002280567228
103	0.0002209023258
104	0.0002143300831
105	0.0002079675379
106	0.0002016574601
107	0.000196266935
108	0.000190764133
109	0.0001855270542
110	0.0001808143953
111	0.0001761732293
112	0.0001719846528
113	0.0001679540942
114	0.0001639779629
115	0.0001601201648
116	0.0001567226459
117	0.0001531122949
118	0.0001497755938
119	0.0001465528373
120	0.0001435236933
121	0.0001406258169
122	0.0001378302516
123	0.0001353867968
124	0.0001330410465
125	0.0001307383525
126	0.0001287696632
127	0.0001264699631
128	0.00012434051
129	0.0001224136832
130	0.0001205119501
131	0.0001186819568
132	0.0001169522458
133	0.0001152866956
134	0.000113678018
135	0.000112121915
136	0.0001106137006
137	0.0001091588408
138	0.0001077479752
139	0.0001063829123
140	0.0001050276148
141	0.000103621449
142	0.0001023776931
143	0.0001011712951
144	9.999993734e-05
145	9.883331101e-05
146	9.772414168e-05
147	9.664709585e-05
148	9.560104744e-05
149	9.455251559e-05
150	9.356079653e-05
151	9.25943956e-05
152	9.165311626e-05
153	9.07363255e-05
154	8.984251921e-05
155	8.894405281e-05
156	8.809348022e-05
157	8.72625788e-05
158	8.637035322e-05
159	8.557728651e-05
160	8.480360909e-05
161	8.402738264e-05
162	8.328882992e-05
163	8.256706076e-05
164	8.176907462e-05
165	8.107866112e-05
166	8.038192214e-05
167	7.972052285e-05
168	7.907285174e-05
169	7.835301151e-05
170	7.771254838e-05
171	7.710398689e-05
172	7.650680228e-05
173	7.592186124e-05
174	7.534818277e-05
175	7.478580468e-05
176	7.423362778e-05
177	7.369209343e-05
178	7.316015615e-05
179	7.262021624e-05
180	7.209291132e-05
181	7.158874128e-05
182	7.109429569e-05
183	7.060878854e-05
184	7.013132729e-05
185	6.966120618e-05
186	6.919969756e-05
187	6.874598236e-05
188	6.829904547e-05
189	6.786019808e-05
190	6.742846599e-05
191	6.700366466e-05
192	6.658561597e-05
193	6.617414801e-05
194	6.576909473e-05
195	6.537029579e-05
196	6.497759623e-05
197	6.45908463e-05
198	6.420978617e-05
199	6.383450691e-05
200	6.346475703e-05
201	6.310040548e-05
202	6.273103186e-05
203	6.23771028e-05
204	6.202831241e-05
205	6.168443404e-05
206	6.134535616e-05
207	6.101097067e-05
208	6.068117281e-05
209	6.035586096e-05
210	6.003483238e-05
211	5.971820076e-05
212	5.940576825e-05
213	5.909744482e-05
214	5.879314308e-05
215	5.849277815e-05
216	5.81964508e-05
217	5.790371177e-05
218	5.76146693e-05
219	5.732924778e-05
220	5.704727767e-05
221	5.676888035e-05
222	5.64938895e-05
223	5.622223752e-05
224	5.59537658e-05
225	5.56885968e-05
226	5.542657464e-05
227	5.516773732e-05
228	5.491182763e-05
229	5.465888765e-05
230	5.440886139e-05
231	5.41616943e-05
232	5.391710778e-05
233	5.367500303e-05
234	5.343601714e-05
235	5.319974066e-05
236	5.296610265e-05
237	5.273494052e-05
238	5.250629391e-05
239	5.228020055e-05
240	5.205653332e-05
241	5.183516878e-05
242	5.161614798e-05
243	5.139948039e-05
244	5.118510526e-05
245	5.09729542e-05
246	5.077834452e-05
247	5.057033589e-05
248	5.036436801e-05
249	5.01605596e-05
250	4.995879911e-05
251	4.9759053e-05
252	4.956128847e-05
253	4.936547347e-05
254	4.917150347e-05
255	4.897942221e-05
256	4.878919969e-05
257	4.860102557e-05
258	4.84145755e-05
259	4.822989581e-05
260	4.804688416e-05
261	4.786558975e-05
262	4.768598629e-05
263	4.750804804e-05
264	4.733174979e-05
265	4.715706687e-05
266	4.698397513e-05
267	4.681200171e-05
268	4.664164754e-05
269	4.647312974e-05
270	4.630611227e-05
271	4.614063766e-05
272	4.597661921e-05
273	4.581403599e-05
274	4.56528675e-05
275	4.549309362e-05
276	4.533469465e-05
277	4.517729784e-05
278	4.50215323e-05
279	4.486188048e-05
280	4.470883276e-05
281	4.455706641e-05
282	4.440656391e-05
283	4.425724879e-05
284	4.410916437e-05
285	4.396229408e-05
286	4.381667946e-05
287	4.367185937e-05
288	4.352859376e-05
289	4.338647813e-05
290	4.324555663e-05
291	4.310569558e-05
292	4.296688468e-05
293	4.28292209e-05
294	4.269263439e-05
295	4.255711139e-05
296	4.24225845e-05
297	4.228914854e-05
298	4.215668313e-05
299	4.202528197e-05
300	4.189482671e-05
301	4.176540991e-05
302	4.163696675e-05
303	4.150948527e-05
304	4.138265959e-05
305	4.125706817e-05
306	4.113240372e-05
307	4.10086052e-05
308	4.088576167e-05
309	4.076381213e-05
310	4.064274596e-05
311	4.052255272e-05
312	4.040322211e-05
313	4.028474403e-05
314	4.016710854e-05
315	4.005030585e-05
316	3.993432634e-05
317	3.981916052e-05
318	3.970479909e-05
319	3.959118682e-05
320	3.947836138e-05
321	3.936635197e-05
322	3.925511678e-05
323	3.914466679e-05
324	3.903498861e-05
325	3.892600691e-05
326	3.881776015e-05
327	3.871024024e-05
328	3.86033957e-05
329	3.849735076e-05
330	3.839192113e-05
331	3.82872304e-05
332	3.817933834e-05
333	3.807604407e-05
334	3.797342305e-05
335	3.787142661e-05
336	3.777011514e-05
337	3.766922885e-05
338	3.756923195e-05
339	3.746983311e-05
340	3.737106665e-05
341	3.7272926e-05
342	3.717540471e-05
343	3.707853564e-05
344	3.695369525e-05
345	3.685816779e-05
346	3.676323292e-05
347	3.666888465e-05
348	3.657507874e-05
349	3.648184821e-05
350	3.638922509e-05
